point_id,x_world,y_world,speed_mps,route_name,source
1,-31.342176,106.153355,0.800,campus_main_road,manual_georeferenced_map}
2,-19.784626,105.700215,0.800,campus_main_road,manual_georeferenced_map}
3,-11.173119,106.379924,0.800,campus_main_road,manual_georeferenced_map}
4,-3.014849,106.833064,0.800,campus_main_road,manual_georeferenced_map}
5,3.330472,104.114228,0.800,campus_main_road,manual_georeferenced_map}
6,4.010328,99.582835,0.800,campus_main_road,manual_georeferenced_map}
7,4.463566,92.106036,0.800,campus_main_road,manual_georeferenced_map}
