frame,time_s,distance_m,x,y,body_z,ground_z,yaw_rad,speed_mps,lateral_error_m,body_qw,body_qx,body_qy,body_qz,camera_x,camera_y,camera_z,camera_qw,camera_qx,camera_qy,camera_qz
0,0.0,0.00018491357371885897,5.152890682220285,47.18830108642628,-0.3977187107749331,-0.5577586816497195,-1.5707963610234383,0.3,1.1682220284470179e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.1528906668174415,46.738301086426276,0.682281289225067,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
1,0.1,0.024312874301330112,5.152851581573269,47.16417312569867,-0.3977512102074969,-0.5577586816497195,-1.5707963610234383,0.3,-2.741842673170829e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152851566170425,46.714173125698665,0.6822487897925033,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
2,0.2,0.054284948853897674,5.152828216552526,47.1342010511461,-0.39772410499528527,-0.5577586816497195,-1.5707963610234383,0.3,-5.078344747478147e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152828201149682,46.6842010511461,0.6822758950047149,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
3,0.3,0.08429899066561575,5.152842521665845,47.10418700933438,-0.3977307956166613,-0.5577586816497195,-1.5707963610234383,0.3,-3.64783341551041e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152842506263002,46.65418700933438,0.6822692043833388,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
4,0.4,0.11427869647624789,5.152844905855023,47.07420730352375,-0.39774255263284325,-0.5577586816497195,-1.5707963610234383,0.3,-3.4094144977465995e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.1528448904521795,46.62420730352375,0.6822574473671569,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
5,0.5,0.1442965418090978,5.152851581573681,47.0441894581909,-0.3977389763541567,-0.5577586816497195,-1.5707963610234383,0.3,-2.741842631960085e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152851566170837,46.5941894581909,0.6822610236458434,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
6,0.6,0.1742953211058449,5.15284776687551,47.01419067889415,-0.39775320696309685,-0.5577586816497195,-1.5707963610234383,0.3,-3.12331244902815e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152847751472667,46.56419067889415,0.6822467930369033,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
7,0.7,0.20429791509978656,5.152842044828577,46.98418808490021,-0.3977327923722613,-0.5577586816497195,-1.5707963610234383,0.3,-3.695517142344869e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.1528420294257335,46.53418808490021,0.6822672076277388,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
8,0.8,0.23432339727762042,5.152844905853346,46.95416260272238,-0.397753758306061,-0.5577586816497195,-1.5707963610234383,0.3,-3.40941466543542e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152844890450503,46.504162602722374,0.6822462416939391,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
9,0.9,0.26436415314516637,5.152832984925688,46.92412184685483,-0.39774526464418053,-0.5577586816497195,-1.5707963610234383,0.3,-4.601507431269367e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152832969522844,46.47412184685483,0.6822547353558196,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
10,1.0,0.2943514883503582,5.152836322785282,46.89413451164964,-0.3977535943932879,-0.5577586816497195,-1.5707963610234383,0.3,-4.267721471864076e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152836307382438,46.44413451164964,0.6822464056067122,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
11,1.1,0.32435789704230444,5.152852058410337,46.86412810295769,-0.3977227936931002,-0.5577586816497195,-1.5707963610234383,0.3,-2.694158966322956e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.152852043007494,46.41412810295769,0.6822772063068999,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
12,1.2,0.3543871939167005,5.152834415437173,46.8340988060833,-0.39774471330121636,-0.5577586816497195,-1.5707963610234383,0.3,-4.4584562827431666e-05,-0.7071067690849304,0.0,0.0,0.7071067932881644,5.15283440003433,46.384098806083294,0.6822552866987838,1.2101617157933039e-08,1.2101617000923795e-08,0.7071067811865476,0.7071067811865474
